,"Т А Б Л И Ц А за разпределение на площите на имотите в обект: ЖИЛИЩНА СГРАДА С ПОДЗЕМНИ ГАРАЖИ в УПИ V-3508, кв. 56, м. Малинова долина, р-н Студентски, гр. София"
,Имоти,Етаж Кота,,Стаи,Чиста площ,Общи части,,Обща площ,Изложение,Тераси,Цена с ДДС,Евро / кв.м.
,,,,,,%,м2,,,,,
,Апартамент 1,етаж 1 - кота +/- 0.00,,2,40,2.477409126,5.218414582,45.43,СИ,22,ПРОДАДЕН,
,Апартамент 2,,,2,57,3.530308004,7.436240779,64.44,И,22.9,215400,2838.318619
,Апартамент 3,,,2,56,3.468372776,7.305780415,63.43228433,З,0,ПРОДАДЕН,
,Апартамент 4,,,2,30,1.858056844,3.913810937,34.19679757,СЗ,0,ПРОДАДЕН,
,Апартамент 5,етаж 2 - кота +2.85,,2,54.8,3.394050502,7.149227977,34.19679757,СИ,4.5,ПРОДАДЕН,
,Апартамент 6,,,2,67,4.149660285,8.740844425,75.91485171,И,3.9,224800,2961.212397
,Апартамент 7,,,2,64.6,4.001015738,8.42773955,73.18499805,З,3.9,220100,3007.446962
,Апартамент 8,,,2,56.2,3.480759821,7.331872488,63.6588282,СЗ,3.8,ПРОДАДЕН,
,Апартамент 9,етаж 3 - кота +5.70,,2,54.8,3.394050502,7.149227977,63.6588282,СИ,4.5,ПРОДАДЕН,
,Апартамент 10,,,2,67,4.149660285,8.740844425,62.10700267,И,3.9,ПРОДАДЕН,
,Апартамент 11,,,2,64.6,4.001015738,8.42773955,75.91485171,З,3.9,ПРОДАДЕН,
,Апартамент 12,,,2,56.2,3.480759821,7.331872488,73.18499805,СЗ,3.8,ПРОДАДЕН,
,Апартамент 13,етаж 4 - кота +8.55,,2,54.8,3.394050502,7.149227977,63.6588282,СИ,4.5,ПРОДАДЕН,
,Апартамент 14,,,2,67,4.149660285,8.740844425,75.91485171,И,3.9,229600,3024.441131
,Апартамент 15,,,2,67,4.001015738,8.42773955,73.18499805,З,3.9,224700,3070.301373
,Апартамент 16,,,2,56.2,3.480759821,7.331872488,63.6588282,СЗ,3.8,200600,3151.173304
,Апартамент 17,етаж 5 - кота +11.40,,2,54.8,3.394050502,7.149227977,62.10700267,СИ,4.5,ПРОДАДЕН,
,Апартамент 18,,,2,67,4.149660285,8.740844425,75.91485171,И,3.9,ПРОДАДЕН,
,Апартамент 19,,,2,64.6,4.001015738,8.42773955,73.18499805,З,3.9,227000,3101.728579
,Апартамент 20,,,2,56.2,3.480759821,7.331872488,63.6588282,СЗ,3.8,ПРОДАДЕН,
,Апартамент 21,етаж 6 - кота +14.25,,3,76,4.707077339,9.914987706,85.91498771,СИ,51.1,ПРОДАДЕН,
,Апартамент 22,,,3,83.7,5.183978595,10.91953251,94.61953251,СЗ,57.8,ПРОДАДЕН,
,Гараж 1,сутерен - кота - 2.80,,,16,0.99096365,2.087365833,30.61,,,38700,1264.292715
,Гараж 2,,,,17.8,1.102447061,2.322194489,34.05,,,34800,1022.026432
,Гараж 3 и склад,,,,19.5,1.207736949,2.543977109,37.3,,,ПРОДАДЕН,
,Гараж 4 и склад,,,,21.5,1.331607405,2.804897838,41.13,,,41500,1008.995867
,Гараж 5 и склад,,,,19,1.176769335,2.478746926,36.35,,,ПРОДАДЕН,
,Гараж 6,,,,16,0.99096365,2.087365833,30.61,,,38700,1264.292715
,Двоен гараж 7 и 8 и склад,,,,47.7,2.954310382,6.222959389,91.25,,,72500,794.5205479
,Гараж 9 и склад,,,,18.1,1.121027629,2.361332598,34.63,,,ПРОДАДЕН,
,Гараж 10 и склад,,,,17.7,1.096253538,2.309148453,33.86,,,36600,1080.921441
,Гараж 11 и склад,,,,22.4,1.38734911,2.922312166,42.85,,,38000,886.8144691
,Гараж 12 и склад,,,,28.3,1.752766956,3.692028317,54.14,,,43700,807.1666051
,Паркомясто Р1,,,,12.56,0.777906465,1.638582179,24.03,,,ПРОДАДЕН,
,Паркомясто Р2,,,,17.1,1.059092401,2.230872234,32.71,,,29700,907.9792113
,Паркомясто Р3,,,,13.53,0.837983637,1.765128732,25.88,,,23800,919.6290572
,Склад Р1,,,,4.9,0.303482618,0.639255786,5.54,,,7400,1335.740072
,Склад Р2,,,,4.5,0.278708527,0.58707164,5.09,,,6800,1335.952849
,Паркомяста Р4,терен - кота +/- 0.00,,,13.75,,,13.75,,,27800,2021.818182
,Паркомяста Р5,,,,13.75,,,13.75,,,27800,2021.818182
,Открито паркомяста Р6,,,,12.5,,,12.5,,,25300,2024
,Открито паркомяста Р7,,,,12.5,,,12.5,,,ПРОДАДЕН,
,Открито паркомяста Р8,,,,12.5,,,12.5,,,25300,2024
,Открито паркомяста Р9,,,,12.5,,,12.5,,,28100,2248
,Открито паркомяста Р10,,,,16.9,,,16.9,,,30100,1781.065089
